Mercury KX1,Mercury+ KX2,Product Name,Connector A,Pin Numbers,Product Name,Mercury KX1,Mercury+ KX2
Signal Name,Signal Name,Pin Type,Outside,Inside,Pin Type,Signal Name,Signal Name
VCC_MOD,VCC_MOD,VIN_MOD,1,2,VIN_MOD,VCC_MOD,VCC_MOD
VCC_MOD,VCC_MOD,VIN_MOD,3,4,VIN_MOD,VCC_MOD,VCC_MOD
VCC_MOD,VCC_MOD,VIN_MOD,5,6,VIN_MOD,VCC_MOD,VCC_MOD
VCC_MOD,VCC_MOD,VIN_MOD,7,8,VIN_MOD,VCC_MOD,VCC_MOD
VCC_MOD,VCC_MOD,VIN_MOD,9,10,PWR_EN,PWR_EN,PWR_EN
VCC_MOD,VCC_MOD,VIN_MOD,11,12,PWR_GOOD,PWR_GOOD,PWR_GOOD
GND,GND,GND,13,14,GND,GND,GND
IO_B12_L15_W20_P,IO_B12_L15_W20_P,IO_P,15,16,SCLK_P,IO_B12_L12_MRCC_Y23_P,IO_B12_L11_SRCC_AA23_P
IO_B12_L15_Y21_N,IO_B12_L15_Y21_N,IO_N,17,18,SCLK_N,IO_B12_L12_MRCC_AA24_N,IO_B12_L11_SRCC_AB24_N
IO_B12_L17_AB22_P,IO_B12_L19_AD21_P,IO_P,19,20,GND,GND,GND
IO_B12_L17_AC22_N,IO_B12_L19_VREF_AE21_N,IO_N,21,22,IO_P,IO_B12_L18_AB21_P,IO_B12_L18_AB21_P
GND,GND,GND,23,24,IO_N,IO_B12_L18_AC21_N,IO_B12_L18_AC21_N
IO_B12_L21_AD26_P,IO_B12_L24_AE22_P,IO_P,25,26,VOUT_3V3,VCC_3V3,VCC_3V3
IO_B12_L21_AE26_N,IO_B12_L24_AF22_N,IO_N,27,28,IO_P,IO_B12_L1_U22_P,IO_B12_L17_AB22_P
VCC_3V3,VCC_3V3,VOUT_3V3,29,30,IO_N,IO_B12_L1_V22_N,IO_B12_L17_AC22_N
IO_B12_L23_AD25_P,IO_B12_L6_V21_P,IO_P,31,32,GND,GND,GND
IO_B12_L23_AE25_N,IO_B12_L6_VREF_W21_N,IO_N,33,34,IO_P,IO_B12_L6_V21_P,IO_B12_L22_AE23_P
GND,GND,GND,35,36,IO_N,IO_B12_L6_VREF_W21_N,IO_B12_L22_AF23_N
IO_B12_L8_W23_P,IO_B12_L3_V23_P,IO_P,37,38,VIN_IO,VCC_IO_B12,VCC_IO_B12
IO_B12_L8_W24_N,IO_B12_L3_V24_N,IO_N,39,40,IO_P,IO_B12_L11_SRCC_AA23_P,IO_B12_L20_AF24_P
VCC_IO_B12,VCC_IO_B12,VIN_IO,41,42,IO_N,IO_B12_L11_SRCC_AB24_N,IO_B12_L20_AF25_N
IO_B12_L2_U24_P,IO_B12_L2_U24_P,IO_P,43,44,GND,GND,GND
